"ID","Incident Time","Source","Policies","Channel","Destination","Severity","Action","Maximum Matches","Transaction Size (KB)","Status",
"1266332","21 Aug. 2020, 10:45:30 PM GMT+0530","hinaagarwal","Slovakia PII","Endpoint HTTPS","www.google.com","Medium","Permitted","1","13","New",
"1266576","21 Aug. 2020, 10:45:20 PM GMT+0530","prateekvarshney","Slovakia PII; Poland PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","1","New",
"1266573","21 Aug. 2020, 10:45:18 PM GMT+0530","prateekvarshney","Poland PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","1.2","New",
"1266570","21 Aug. 2020, 10:45:16 PM GMT+0530","saurabhmishra","Poland PII","Endpoint HTTPS","www.netflix.com","Medium","Permitted","1","15","New",
"1266456","21 Aug. 2020, 10:45:03 PM GMT+0530","saurabhmishra","Poland PII","Endpoint HTTPS","www.netflix.com","Medium","Permitted","1","15.7","New",
"1266500","21 Aug. 2020, 10:44:58 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","52.4","New",
"1266636","21 Aug. 2020, 10:44:49 PM GMT+0530","saurabhmishra","Poland PII","Endpoint HTTPS","www.netflix.com","Medium","Permitted","1","14.4","New",
"1266408","21 Aug. 2020, 10:44:43 PM GMT+0530","lakshmikantha","Poland PII","Endpoint HTTPS","atv-ps-eu.primevideo.com","Medium","Permitted","1","11.1","New",
"1266320","21 Aug. 2020, 10:44:37 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","44.1","New",
"1266317","21 Aug. 2020, 10:44:36 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","44.1","New",
"1266314","21 Aug. 2020, 10:44:35 PM GMT+0530","saurabhmishra","Poland PII","Endpoint HTTPS","www.netflix.com","Medium","Permitted","1","14.6","New",
"1266564","21 Aug. 2020, 10:44:21 PM GMT+0530","saurabhmishra","Poland PII","Endpoint HTTPS","www.netflix.com","Medium","Permitted","1","6.6","New",
"1266450","21 Aug. 2020, 10:44:14 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","2.5","New",
"1266491","21 Aug. 2020, 10:44:08 PM GMT+0530","saurabhmishra","Poland PII","Endpoint HTTPS","www.netflix.com","Medium","Permitted","1","6.2","New",
"1266488","21 Aug. 2020, 10:44:01 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","12.5","New",
"1266391","21 Aug. 2020, 10:43:58 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","1.2","New",
"1266388","21 Aug. 2020, 10:43:57 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.2","New",
"1266385","21 Aug. 2020, 10:43:57 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","0.2","New",
"1266382","21 Aug. 2020, 10:43:56 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","54","New",
"1266305","21 Aug. 2020, 10:43:47 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","2.7","New",
"1266302","21 Aug. 2020, 10:43:41 PM GMT+0530","saurabhmishra","Poland PII","Endpoint HTTPS","www.netflix.com","Medium","Permitted","1","6.4","New",
"1266255","21 Aug. 2020, 10:43:34 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","44.9","New",
"1266252","21 Aug. 2020, 10:43:34 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","44.9","New",
"1266442","21 Aug. 2020, 10:43:21 PM GMT+0530","shaktigupta","Croatia PII","Endpoint HTTPS","www.d2h.com","Medium","Permitted","1","0.1","New",
"1266104","21 Aug. 2020, 10:42:33 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","48.2","New",
"1266101","21 Aug. 2020, 10:42:32 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","48.2","New",
"1266376","21 Aug. 2020, 10:42:28 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","59.1","New",
"1266291","21 Aug. 2020, 10:41:57 PM GMT+0530","saurabhmishra","Croatia PII","Endpoint HTTPS","web.whatsapp.com","Medium","Permitted","1","4.9","New",
"1266288","21 Aug. 2020, 10:41:52 PM GMT+0530","it","Poland PII","Endpoint HTTPS","api-js.mixpanel.com","High","Permitted","3","13.3","New",
"1266236","21 Aug. 2020, 10:41:47 PM GMT+0530","divyanigupta","Source code","Endpoint application (File Access)","Chrome","Medium","Permitted","3","6266.9","New",
"1266233","21 Aug. 2020, 10:41:43 PM GMT+0530","saurabhmishra","Croatia PII","Endpoint HTTPS","web.whatsapp.com","Medium","Permitted","1","4.7","New",
"1266436","21 Aug. 2020, 10:41:31 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","42.9","New",
"1266086","21 Aug. 2020, 10:41:30 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","42.9","New",
"1266083","21 Aug. 2020, 10:41:29 PM GMT+0530","saurabhmishra","Croatia PII","Endpoint HTTPS","web.whatsapp.com","Medium","Permitted","1","4.9","New",
"1266080","21 Aug. 2020, 10:41:28 PM GMT+0530","it","Poland PII","Endpoint HTTPS","api-js.mixpanel.com","Medium","Permitted","1","1.4","New",
"1266077","21 Aug. 2020, 10:41:21 PM GMT+0530","ts","Poland PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","5.9","New",
"1266363","21 Aug. 2020, 10:41:21 PM GMT+0530","ts","Poland PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","5.7","New",
"1266360","21 Aug. 2020, 10:41:18 PM GMT+0530","mohanpandey","Croatia PII","Endpoint HTTPS","chat-pa.clients6.google.com","Medium","Permitted","1","0.4","New",
"1266357","21 Aug. 2020, 10:41:15 PM GMT+0530","saurabhmishra","Croatia PII","Endpoint HTTPS","web.whatsapp.com","Medium","Permitted","1","4.7","New",
"1266277","21 Aug. 2020, 10:41:07 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","13.9","New",
"1266274","21 Aug. 2020, 10:41:02 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","3","58.9","New",
"1266227","21 Aug. 2020, 10:40:57 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","6.5","New",
"1266423","21 Aug. 2020, 10:40:49 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","2","59.3","New",
"1266420","21 Aug. 2020, 10:40:47 PM GMT+0530","saurabhmishra","Slovakia PII","Endpoint HTTPS","www.facebook.com","Medium","Permitted","1","1.1","New",
"1266417","21 Aug. 2020, 10:40:43 PM GMT+0530","prateekvarshney","Slovakia PII","Endpoint HTTPS","www.quora.com","Medium","Permitted","1","1.8","New",
"1266069","21 Aug. 2020, 10:40:40 PM GMT+0530","emtiyajali","Poland PII","Endpoint HTTPS","direct-events-collector.spot.im","Medium","Permitted","1","0.3","New",
"1266348","21 Aug. 2020, 10:40:28 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","46.8","New",
"1266345","21 Aug. 2020, 10:40:27 PM GMT+0530","piyushgurnule","Slovakia PII","Endpoint HTTPS","api.eu-west-1.aiv-delivery.net","Medium","Permitted","1","46.8","New",
"1266268","21 Aug. 2020, 10:39:35 PM GMT+0530","ts","Croatia PII","Endpoint HTTPS","fls-eu.amazon.in","Medium","Permitted","1","57.8","New",
